NAME,ISO3,Country,Year,MD_Total,MD_Per10.000population,Nurse_Total,Nurse_Per10000population
Bahrain,BHR,Bahrain,2015,1270,9.257,3422,24.944
Bangladesh,BGD,Bangladesh,2015,75915,4.709,42965,2.665
Benin,BEN,Benin,2016,1709,1.572,6681,6.145
Brunei,BRN,Brunei,2015,739,17.701,2756,66.012
Burkina Faso,BFA,Burkina Faso,2016,1119,0.6,10620,5.696
Cambodia,KHM,Cambodia,2014,2568,1.682,14579,9.547
Cameroon,CMR,Cameroon,2011,1842,0.898,19159,9.337
Central African Republic,CAF,Central African Republic,2015,286,0.629,927,2.039
Chad,TCD,Chad,2016,686,0.475,5255,3.637
Côte d'Ivoire,CIV,Côte d'Ivoire,2014,5240,2.326,19190,8.517
Egypt,EGY,Egypt,2015,75960,8.1,140667,15
Gambia,GMB,Gambia,2015,213,1.077,3222,16.292
Ghana,GHA,Ghana,2016,3618,1.283,43700,15.493
Guinea,GIN,Guinea,2016,977,0.788,4765,3.844
Guinea-Bissau,GNB,Guinea-Bissau,2015,354,2,2479,14
India,IND,India,2014,938861,7.256,1780006,13.757
Indonesia,IDN,Indonesia,2015,70735,2.74,335646,13.001
Jordan,JOR,Jordan,2015,26019,28.407,23651,25.822
Kenya,KEN,Kenya,2014,9149,1.988,70975,15.421
Kuwait,KWT,Kuwait,2015,10150,25.789,27430,69.694
Laos,LAO,Laos,2014,3286,4.997,6416,9.756
Liberia,LBR,Liberia,2015,168,0.373,453,1.007
Madagascar,MDG,Madagascar,2014,4275,1.812,2500,1.059
Malaysia,MYS,Malaysia,2015,46491,15.132,125100,40.718
Mali,MLI,Mali,2016,2506,1.393,6874,3.82
Mauritania,MRT,Mauritania,2015,692,1.655,4137,9.892
Myanmar,MMR,Myanmar,2016,32861,6.214,54867,10.375
Namibia,NAM,Namibia,2017,NA,5.91,NA,20.2
Niger,NER,Niger,2014,958,0.5,5954,3.109
Nigeria,NGA,Nigeria,2013,65759,3.827,249566,14.524
Oman,OMN,Oman,2015,8914,21.225,19331,46.028
Philippines,PHL,Philippines,2010,119497,12.75,312564,33.348
Qatar,QAT,Qatar,2014,4267,17.971,13771,57.998
Rwanda,RWA,Rwanda,2015,1638,1.408,9661,8.307
Saudi Arabia,SAU,Saudi Arabia,2014,79313,25.77,160811,52.251
Senegal,SEN,Senegal,2015,3023,2.018,11615,7.755
Sierra Leone,SLE,Sierra Leone,2014,NA,NA,7052,9.962
Somalia,SOM,Somalia,2014,309,0.229,825,0.611
South Africa,ZAF,South Africa,2015,43277,7.827,278617,50.391
Sudan,SDN,Sudan,2015,15845,4.1,32077,8.3
Thailand,THA,Thailand,2015,31959,4.655,162734,23.702
Togo,TGO,Togo,2015,361,0.487,2210,2.98
Uganda,UGA,Uganda,2015,3645,0.908,25305,6.303
United Arab Emirates,ARE,United Arab Emirates,2015,20481,22.373,46155,50.419
Vietnam,VNM,Vietnam,2015,73797,7.887,131858,14.092
Yemen,YEM,Yemen,2014,8148,3.104,19159,7.3
South Sudan,SSD,South Sudan,NA,NA,NA,NA,NA
Tanzania,TZA,Tanzania,NA,NA,NA,NA,NA
Mayotte,MYT,Mayotte,NA,NA,NA,NA,NA
