"GID_0","GID_1","Facility.type","Lat","Long","numCatchAreas","population"
"BEN","BEN.1_1","Hospital",11.2991,2.4338,4,837923.2096
"BEN","BEN.1_1","Hospital",11.1364,2.9428,4,837923.2096
"BEN","BEN.1_1","Hospital",12.067,3.183,4,837923.2096
"BEN","BEN.1_1","Hospital",11.864,3.3895,4,837923.2096
"BEN","BEN.10_1","Hospital",6.3818,2.463,5,1167429.838
"BEN","BEN.10_1","Hospital",6.7087,2.4871,5,1167429.838
"BEN","BEN.10_1","Hospital",6.5777,2.5512,5,1167429.838
"BEN","BEN.10_1","Hospital",6.4906,2.5127,5,1167429.838
"BEN","BEN.10_1","Hospital",6.4739,2.6141,5,1167429.838
"BEN","BEN.11_1","Hospital",7.3633,2.5998,3,691930.0755
"BEN","BEN.11_1","Hospital",6.9869,2.669,3,691930.0755
"BEN","BEN.11_1","Hospital",6.7275,2.6721,3,691930.0755
"BEN","BEN.12_1","Hospital",7.1804,2.0177,4,959340.1333
"BEN","BEN.12_1","Hospital",7.184,1.988,4,959340.1333
"BEN","BEN.12_1","Hospital",7.2198,2.3482,4,959340.1333
"BEN","BEN.12_1","Hospital",7.221,2.3834,4,959340.1333
"BEN","BEN.2_1","Hospital",10.336,1.6907,4,882406.6451
"BEN","BEN.2_1","Hospital",10.2783,1.3781,4,882406.6451
"BEN","BEN.2_1","Hospital",10.3105,1.3778,4,882406.6451
"BEN","BEN.2_1","Hospital",10.6246,1.2673,4,882406.6451
"BEN","BEN.3_1","Hospital",6.4727,2.3429,5,1900619.594
"BEN","BEN.3_1","Hospital",6.5987,2.364,5,1900619.594
"BEN","BEN.3_1","Hospital",6.3575,2.0857,5,1900619.594
"BEN","BEN.3_1","Hospital",6.3832,2.0661,5,1900619.594
"BEN","BEN.3_1","Hospital",6.3844,2.4032,5,1900619.594
"BEN","BEN.4_1","Hospital",10.2377,2.7325,7,1208842.592
"BEN","BEN.4_1","Hospital",10.2271,2.6651,7,1208842.592
"BEN","BEN.4_1","Hospital",10.3431,2.3814,7,1208842.592
"BEN","BEN.4_1","Hospital",9.4674,2.631,7,1208842.592
"BEN","BEN.4_1","Hospital",9.3365,2.6363,7,1208842.592
"BEN","BEN.4_1","Hospital",9.9338,3.2136,7,1208842.592
"BEN","BEN.4_1","Hospital",8.7994,2.6086,7,1208842.592
"BEN","BEN.5_1","Hospital",7.7801,2.2002,3,872353.9728
"BEN","BEN.5_1","Hospital",7.9271,1.9811,3,872353.9728
"BEN","BEN.5_1","Hospital",8.0543,2.507,3,872353.9728
"BEN","BEN.6_1","Hospital",8.9743,1.7217,1,558467.1135
"BEN","BEN.7_1","Hospital",6.942,1.6949,3,873370.474
"BEN","BEN.7_1","Hospital",6.7658,1.6635,3,873370.474
"BEN","BEN.7_1","Hospital",6.985,1.837,3,873370.474
"BEN","BEN.8_1","Hospital",6.3581,2.435,4,368009.3099
"BEN","BEN.8_1","Hospital",6.3796,2.4148,4,368009.3099
"BEN","BEN.8_1","Hospital",6.3644,2.4203,4,368009.3099
"BEN","BEN.8_1","Hospital",6.3557,2.3998,4,368009.3099
"BEN","BEN.9_1","Hospital",6.4121,1.8885,3,528245.7293
"BEN","BEN.9_1","Hospital",6.6336,1.7135,3,528245.7293
"BEN","BEN.9_1","Hospital",6.6437,1.7158,3,528245.7293
"BFA","BFA.1_1","Hospital",11.741,-2.9343,6,1850940.552
"BFA","BFA.1_1","Hospital",12.4608,-3.4653,6,1850940.552
"BFA","BFA.1_1","Hospital",12.7318,-3.86,6,1850940.552
"BFA","BFA.1_1","Hospital",12.1803,-4.0824,6,1850940.552
"BFA","BFA.1_1","Hospital",12.7637,-2.8942,6,1850940.552
"BFA","BFA.1_1","Hospital",13.0686,-3.0712,6,1850940.552
"BFA","BFA.10_1","Hospital",13.5779,-2.4128,4,1516761.711
"BFA","BFA.10_1","Hospital",13.4373,-1.9685,4,1516761.711
"BFA","BFA.10_1","Hospital",13.7707,-2.0701,4,1516761.711
"BFA","BFA.10_1","Hospital",12.9657,-2.2676,4,1516761.711
"BFA","BFA.11_1","Hospital",12.658,-1.8915,3,873605.4505
