Lowest_gadm_level_entered,ADM_0,ADM1_name,ADM1_code,ADM2_name,ADM2_code,ADM3_name,ADM3_code,start_year,end_year,start_month,end_month,start_day,end_day,unknown,deceased,Total Cases ,Spillover,Human-to-human,Unknown if spillover,OCCUPATION,AGE,CUMULATIVE ,NOTES,Source
2,BGD,Khulna,BGD.4_1,Meherpur,BGD.4.8_1,,,2001,2001,4,5,,,4,9,13,,,13,,,,,http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf
2,BGD,Rajshahi,BGD.5_1,Naogaon,BGD.5.3_1,,,2003,2003,1,1,,,4,8,12,,,12,,,,,http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf
2,BGD,Dhaka,BGD.3_1,Rajbari,BGD.3.14_1,,,2004,2004,1,1,,,8,23,31,,,31,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://iedcr.gov.bd/surveillances/93c87e70-9c22-4f21-9506-a1161ecf404f"
2,BGD,Dhaka,BGD.3_1,Faridpur,BGD.3.2_1,,,2004,2004,4,4,,,9,27,36,,33,3,,,,33 person-to-person,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://iedcr.gov.bd/surveillances/93c87e70-9c22-4f21-9506-a1161ecf404f"
2,BGD,Dhaka,BGD.3_1,Tangail,BGD.3.17_1,,,2005,2005,1,3,,,1,11,12,,,12,,,,,http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf
2,BGD,Rangpur,BGD.6_1,Thakurgaon,BGD.6.8_1,,,2007,2007,1,2,,,4,3,7,1,,6,,,,person-to-person,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Khulna,BGD.4_1,Kushtia,BGD.4.6_1,,,2007,2007,3,3,,,3,5,8,1,,7,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
1,BGD,Rajshahi,BGD.5_1,"Naogaon, Pabna, Natore",BGD.5.3_1,,,2007,2007,1,4,,,2,1,3,3,,0,,,,"Pabna, Natore and Naogaon","http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Dhaka,BGD.3_1,Manikganj,BGD.3.8_1,,,2008,2008,2,2,,,0,4,4,1,,3,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Dhaka,BGD.3_1,Rajbari,BGD.3.14_1,,,2008,2008,2,4,,,2,5,7,1,,6,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
1,BGD,Rangpur,BGD.6_1,"Gaibandha, Rangpur, Nilphamari",NA,,,2009,2009,1,1,,,3,0,3,1,,2,,,,"Gaibandha, Rangpur, and Nilphamari","http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Dhaka,BGD.3_1,Rajbari,BGD.3.14_1,,,2009,2009,1,12,,,0,1,1,1,,0,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Dhaka,BGD.3_1,Faridpur,BGD.3.2_1,,,2010,2010,2,12,,,1,7,8,5,,3,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
1,BGD,Dhaka,BGD.3_1,"Faridpur, Rajbari, Gopalgonj, Madaripur",NA,,,2010,2010,2,12,,,1,7,8,5,,3,,,,"Faridpur, Rajbari, Gopalgonj","http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Rangpur,BGD.6_1,Kurigram,BGD.6.3_1,,,2010,2010,2,12,,,0,1,1,1,,0,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
0,BGD,"Rangpur,Chittagong,Dhaka","BGD.6_1,BGD.2_1,BGD.3_1",,,,,2011,2011,1,2,,,4,40,44,7,,37,,,,"Lalmohirhat, Dinajpur, Comilla Nilphamari, Faridpur, Rajbari, Rangpur","http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Rajshahi,BGD.5_1,Joypurhat,BGD.5.2_1,,,2012,2012,1,1,,,2,10,12,3,,9,,,,,"http://origin.searo.who.int/entity/emerging_diseases/links/morbidity-and-mortality-nipah-sear-2001-2018.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)"
2,BGD,Rajshahi,BGD.5_1,Rajshahi,BGD.5.7_1,,,2012,2012,2,2,,,,,3,1,,2,,,,only spillover reported from first source,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement), https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4806957/"
2,BGD,Rajshahi,BGD.5_1,Natore,BGD.5.4_1,,,2012,2012,3,3,,,,,1,1,,,,,,only spillover reported,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
2,BGD,Dhaka,BGD.3_1,Rajbari,BGD.3.14_1,,,2012,2012,3,3,,,,,1,1,,,,,,only spillover reported,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
2,BGD,Dhaka,BGD.3_1,Faridpur,BGD.3.2_1,,,2012,2012,3,3,,,,,1,1,,,,,,only spillover reported,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
2,BGD,Dhaka,BGD.3_1,Gopalganj,BGD.3.4_1,,,2012,2012,3,3,,,,,1,1,,,,,,only spillover reported,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
2,BGD,Rangpur,BGD.6_1,Rangpur,BGD.6.7_1,,,2012,2012,11,11,,,,,1,1,,,,,,only spillover reported,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
2,BGD,Rangpur,BGD.6_1,Dinajpur,BGD.6.1_1,,,2012,2012,12,12,,,,,1,1,,,,,,only spillover reported,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
1,BGD,Dhaka,BGD.3_1,,,,,2013,2013,1,12,,,3,,,,,3,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
1,BGD,Khulna,BGD.4_1,,,,,2013,2013,1,12,,,3,,,,,3,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894074/#sup1 (supplement)
