Scenarios,R0,thresholdCases,thresholdTimeFrame,vacFrac_sp,vacFrac_h2h,vacEfficacy,vac2Efficacy,vacDelay,vac2Delay,protDelay
1,0.32522564,3,28,0.2,0.8,0.7,NA,28,NA,7
2,0.32522564,3,28,0.7,0.7,0.5,NA,28,NA,7
3,0.32522564,3,28,0.7,0.7,0.7,NA,28,NA,7
4,0.32522564,3,28,0.7,0.7,0.9,NA,28,NA,7
5,0.32522564,3,28,0.7,0.7,0.25,0.5,28,28,7
6,0.32522564,3,28,0.7,0.7,0.35,0.7,28,28,7
7,0.32522564,3,28,0.7,0.7,0.45,0.9,28,28,7
8,0.32522564,3,28,0.5,0.5,0.7,NA,28,NA,7
9,0.32522564,3,28,0.9,0.9,0.7,NA,28,NA,7
10,0.32522564,3,28,0.7,0.7,0.7,NA,7,NA,7
11,0.32522564,3,28,0.7,0.7,0.7,NA,120,NA,7
12,0.32522564,3,28,0.7,0.7,0.7,NA,28,NA,14
13,0.32522564,1,28,0.7,0.7,0.7,NA,28,NA,7
14,0.2146604,3,28,0.7,0.7,0.7,NA,28,NA,7
15,0.51757187,3,28,0.7,0.7,0.7,NA,28,NA,7
16,0.32522564,5,28,0.7,0.7,0.7,NA,28,NA,7
