GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,pop2015,Long,Lat
AFG,Afghanistan,AFG.1_1,Badakhshan,Badahšan,NA,Velayat,Province,NA,AF.BD,1334824.036,71.45897694,37.03289462
AFG,Afghanistan,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,NA,Velayat,Province,NA,AF.BG,555115.4895,63.75269591,35.13975137
AFG,Afghanistan,AFG.3_1,Baghlan,Baglan|Bughlan,NA,Velayat,Province,NA,AF.BL,1177176.389,68.71387658,35.70536172
AFG,Afghanistan,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,NA,Velayat,Province,NA,AF.BK,1474437.963,67.13495652,36.64802782
AFG,Afghanistan,AFG.5_1,Bamyan,NA,NA,Velayat,Province,NA,AF.BM,450131.5075,67.18130704,34.72141868
AFG,Afghanistan,AFG.6_1,Daykundi,NA,NA,Velayat,Province,NA,AF.DK,606422.8172,66.18399262,33.75492245
AFG,Afghanistan,AFG.7_1,Farah,NA,NA,Velayat,Province,NA,AF.FH,612756.1466,62.3009202,32.60505251
AFG,Afghanistan,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,NA,Velayat,Province,NA,AF.FB,1139634.015,64.86355904,36.06923155
AFG,Afghanistan,AFG.9_1,Ghazni,Gazni,NA,Velayat,Province,NA,AF.GZ,1534983.745,67.82718148,33.2891806
AFG,Afghanistan,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,NA,Velayat,Province,NA,AF.GR,807267.4943,64.88652019,34.18288098
AFG,Afghanistan,AFG.11_1,Hilmand,Girishk|Hilmend,NA,Velayat,Province,NA,AF.HM,1108373.378,64.01518229,31.13985554
AFG,Afghanistan,AFG.12_1,Hirat,NA,NA,Velayat,Province,NA,AF.HR,2247912.316,62.12151619,34.19074927
AFG,Afghanistan,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,NA,Velayat,Province,NA,AF.JW,696735.8876,65.86623081,36.81843695
AFG,Afghanistan,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,NA,Velayat,Province,NA,AF.KB,4900191.683,69.31089753,34.55905104
AFG,Afghanistan,AFG.15_1,Kandahar,Qandahar,NA,Velayat,Province,NA,AF.KD,1554815.56,65.69915507,30.97302086
AFG,Afghanistan,AFG.16_1,Kapisa,Kapesa,NA,Velayat,Province,NA,AF.KP,447565.8123,69.6183677,34.96281853
AFG,Afghanistan,AFG.17_1,Khost,NA,NA,Velayat,Province,NA,AF.KT,671607.1152,69.87197553,33.37244091
AFG,Afghanistan,AFG.18_1,Kunar,Konarha|Kunarha,NA,Velayat,Province,NA,AF.KR,692833.0077,71.11573113,34.96438283
AFG,Afghanistan,AFG.19_1,Kunduz,Kondoz|Qonduz|Qunduz,NA,Velayat,Province,NA,AF.KZ,1238195.371,68.75136154,36.8395556
AFG,Afghanistan,AFG.20_1,Laghman,Lagman,NA,Velayat,Province,NA,AF.LA,525200.969,70.14318986,34.7561528
AFG,Afghanistan,AFG.21_1,Logar,Lawghar|Loghar,NA,Velayat,Province,NA,AF.LW,450960.9982,69.07781388,33.99334933
AFG,Afghanistan,AFG.22_1,Nangarhar,Ningrahar|Eastern Province,NA,Velayat,Province,NA,AF.NG,1846479.067,70.46825106,34.27492382
AFG,Afghanistan,AFG.23_1,Nimroz,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,NA,Velayat,Province,NA,AF.NM,193220.7896,62.31349222,30.80517464
AFG,Afghanistan,AFG.24_1,Nuristan,Nooristan|Nuristão,NA,Velayat,Province,NA,AF.NR,243082.0034,70.7999085,35.41160036
AFG,Afghanistan,AFG.25_1,Paktika,Paktiya|Paktya|Southern Province,NA,Velayat,Province,NA,AF.PK,570712.8838,68.75298463,32.47780474
AFG,Afghanistan,AFG.26_1,Paktya,Paktiya|Southern Province,NA,Velayat,Province,NA,AF.PT,759106.0296,69.42430822,33.68051183
AFG,Afghanistan,AFG.27_1,Panjshir,NA,NA,Velayat,Province,NA,AF.PJ,138674.8803,69.8215763,35.45506816
AFG,Afghanistan,AFG.28_1,Parwan,Charikar,NA,Velayat,Province,NA,AF.PV,931275.0998,68.88771766,34.96869535
AFG,Afghanistan,AFG.29_1,Samangan,NA,NA,Velayat,Province,NA,AF.SM,451080.459,67.74056003,35.94945892
AFG,Afghanistan,AFG.30_1,Sari Pul,Sar-e Pul|Saripol,NA,Velayat,Province,NA,AF.SP,718869.5987,66.16863221,35.7146455
AFG,Afghanistan,AFG.31_1,Takhar,Takar,NA,Velayat,Province,NA,AF.TK,1178102.722,69.77898625,36.70417614
AFG,Afghanistan,AFG.32_1,Uruzgan,Urozgan,NA,Velayat,Province,NA,AF.OZ,455006.2158,66.00427116,32.81926501
AFG,Afghanistan,AFG.33_1,Wardak,Verdak|Wardag|Maiden,NA,Velayat,Province,NA,AF.VR,625671.9617,68.28417047,34.3171529
AFG,Afghanistan,AFG.34_1,Zabul,Zubul|Zaboul,NA,Velayat,Province,NA,AF.ZB,404348.012,67.10499801,32.23606865
AGO,Angola,AGO.1_1,Bengo,NA,NA,Província,Province,1,AO.BO,439994.6963,13.88142042,-8.97775149
AGO,Angola,AGO.2_1,Benguela,Benguella,NA,Província,Province,2,AO.BG,1922074.029,13.98971325,-12.93351084
AGO,Angola,AGO.3_1,Bié,NA,NA,Província,Province,3,AO.BI,1390326.063,17.36258115,-12.32493312
AGO,Angola,AGO.4_1,Cabinda,NA,NA,Província,Province,4,AO.CB,530099.8204,12.47566101,-5.039294189
AGO,Angola,AGO.5_1,Cuando Cubango,NA,NA,Província,Province,5,AO.CC,523889.9157,19.51642257,-16.11853758
AGO,Angola,AGO.6_1,Cuanza Norte,Cuanza-Nord|Kwanza Norte,NA,Província,Province,6,AO.CN,463833.6244,14.94596064,-8.898622273
AGO,Angola,AGO.7_1,Cuanza Sul,Cuanza-Sud|Kwanza Sul,NA,Província,Province,7,AO.CS,1607824.81,15.04484941,-10.82598035
AGO,Angola,AGO.8_1,Cunene,NA,NA,Província,Province,8,AO.CU,819737.3143,15.57852043,-16.50351286
AGO,Angola,AGO.9_1,Huambo,NA,NA,Província,Province,9,AO.HM,2006249.076,15.74563384,-12.56917165
AGO,Angola,AGO.10_1,Huíla,NA,NA,Província,Province,10,AO.HL,2539614.745,14.95009645,-14.74288032
AGO,Angola,AGO.11_1,Luanda,Loanda,NA,Província,Province,11,AO.LU,5641731.98,13.31279385,-8.980432239
AGO,Angola,AGO.12_1,Lunda Norte,NA,NA,Província,Province,12,AO.LN,941682.0185,19.49290413,-8.65208694
AGO,Angola,AGO.13_1,Lunda Sul,NA,NA,Província,Province,13,AO.LS,469990.8964,20.65539948,-10.1761504
AGO,Angola,AGO.14_1,Malanje,Malange,NA,Província,Province,14,AO.ML,923480.8741,16.95820552,-9.490051788
AGO,Angola,AGO.15_1,Moxico,NA,NA,Província,Province,15,AO.MX,687859.4161,21.04007468,-12.87972557
AGO,Angola,AGO.16_1,Namibe,Moçâmedes|Mossamedes,NA,Província,Province,16,AO.NA,355092.7323,12.72870258,-15.49146115
AGO,Angola,AGO.17_1,Uíge,NA,NA,Província,Province,17,AO.UI,1363059.156,15.47739001,-7.024051166
AGO,Angola,AGO.18_1,Zaire,NA,NA,Província,Province,18,AO.ZA,477016.3029,13.56289612,-6.608920273
ALA,Åland,ALA.1_1,Brändö,Braendoe,NA,Municipality,Municipality,NA,AX.BR,NA,21.07358436,60.47623838
ALA,Åland,ALA.2_1,Eckerö,Eckeroe,NA,Municipality,Municipality,NA,AX.EC,NA,19.59318293,60.2166216
ALA,Åland,ALA.3_1,Finström,Finstroem,NA,Municipality,Municipality,NA,AX.FN,NA,19.91002594,60.26550777
ALA,Åland,ALA.4_1,Föglö,Foegloe,NA,Municipality,Municipality,NA,AX.FG,NA,20.36524153,59.99399441
ALA,Åland,ALA.5_1,Geta,NA,NA,Municipality,Municipality,NA,AX.GT,NA,19.86232138,60.37471802
ALA,Åland,ALA.6_1,Hammarland,NA,NA,Municipality,Municipality,NA,AX.HM,NA,19.74390984,60.22442173
ALA,Åland,ALA.7_1,Jomala,NA,NA,Municipality,Municipality,NA,AX.JM,NA,19.90502679,60.14287011
ALA,Åland,ALA.8_1,Kökar,Koekar,NA,Municipality,Municipality,NA,AX.KK,NA,20.93204762,59.93373447
ALA,Åland,ALA.9_1,Kumlinge,NA,NA,Municipality,Municipality,NA,AX.KM,NA,20.79456363,60.25806258
ALA,Åland,ALA.10_1,Lemland,NA,NA,Municipality,Municipality,NA,AX.LE,NA,20.1285837,60.05014125
ALA,Åland,ALA.11_1,Lumparland,NA,NA,Municipality,Municipality,NA,AX.LU,NA,20.25300012,60.11717063
ALA,Åland,ALA.12_1,Mariehamn,NA,NA,Municipality,Municipality,NA,AX.MH,NA,19.94314919,60.09735269
ALA,Åland,ALA.13_1,Saltvik,NA,NA,Municipality,Municipality,NA,AX.SV,NA,20.06382411,60.30805584
ALA,Åland,ALA.14_1,Sottunga,NA,NA,Municipality,Municipality,NA,AX.ST,NA,20.66232054,60.13177135
ALA,Åland,ALA.15_1,Sund,NA,NA,Municipality,Municipality,NA,AX.SD,NA,20.16031145,60.23687865
ALA,Åland,ALA.16_1,Vårdö,Vaardoe,NA,Municipality,Municipality,NA,AX.VR,NA,20.37633565,60.24942761
ALB,Albania,ALB.1_1,Berat,NA,NA,Qark|Region,County,80001,AL.BE,0,20.09077469,40.62850043
