lowest_gadm_level_entered,ADM_0,ADM1_name,ADM1_code,ADM2_name,ADM2_code,YEAR,END_YEAR,MONTH,END_MONTH,WEEK,END_WEEK,CASES,DEATHS,OCCUPATION,CUMULATIVE ,IMPORTED,NOTES,SOURCE1,SOURCE2,ProMed_NUM
1,BDI,Muyinga,BDI.13_1,,,2007,,,,,,200,1,,,1,imported from Tanzania,ProMed,,20070519.16
2,CAF,Ombella-M'Poko,CAF.12_1,Boali,CAF.12.2_1,2019,,8,,,,15,0,,,,unclear in source wording if it's 8 or 15 cases,ProMed (Central African Republic: WHO),,20190904.67
1,CHN,Henan Province,CHN.12_1,,,2016,,7,,29,,1,1,,,1,imported from Angola,"ProMed, China: ex Angola",,20160725.44
1,EGY,"Aswan, Ismailia, Sharkia,Giza,Qena","EGY.17_1, EGY.7_1, EGY.16_1, EGY.8_1, EGY.25_1",,,1993,1993,5,8,,,128,NA,,,,,Kandeel,Arthur et. al ,
1,EGY,"Aswan, Assiut ","EGY.17_1, EGY.18_1",,,1997,1997,4,8,,,7,NA,,,,,Kenawy et. al,,
0,EGY,,,,,2003,2003,6,10,,,153,74,,,,,sciencedirect.com/science/article/pii/S0001706X1730966X,,
2,EGY,Kafr ash Shaykh,EGY.23_1,Sidi Salim ,EGY.23.10_1,2003,,8,,,35,45,17,,,,,"ProMed, human - Egypt (02)",,20030902.22
0,EGY,,,,,2003,,,,,,191,38,,,,,sciencedirect.com/science/article/pii/S0001706X1730966X,,
0,EGY,,,,,2003,,,,,,29,NA,,,,,sciencedirect.com/science/article/pii/S0001706X1730966X,,
0,FRA,,,,,2015,,8,,33,,1,0,,,1,imported from Mali,"ProMed, France ex Mali, 2015",,20160506.42
0,GMB,,,,,2002,,,,,,1,NA,,,,,WHO February 2018,,
1,GMB,Banjul,GMB.1_1,,,2018,,1,,3,,1,1,,,,,"Promed, Gambia: (BJ) WHO",,20180124.56
1,KEN,Garissa,KEN.7_1,,,1997,,12,,,,35,NA,,,,,CDC 1998,https://www.cdc.gov/mmwr/preview/mmwrhtml/00051976.htm,
0,KEN,,,,,1998,,,,,,11,NA,,,,,CDC 1998,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732454/,
1,KEN,Garissa,KEN.7_1,,,2006,2007,11,1,,,175,51,,,,,CDC Kenya 2007,,
2,KEN,Garissa,KEN.7_1,Ijara,KEN.7.5_1,2006,2007,11,1,,,125,37,,,,,CDC Kenya 2007,,
1,KEN,Isiolo,KEN.9_1,,,2006,2007,11,1,,,8,2,,,,,CDC Kenya 2007,,
1,KEN,Kajiado,KEN.10_1,,,2006,2007,11,1,,,3,1,,,,,CDC Kenya 2007,,
1,KEN,Kilifi,KEN.14_1,,,2006,2007,11,1,,,38,11,,,,,CDC Kenya 2007,,
2,KEN,Kilifi,KEN.14_1,Malindi,KEN.14.6_1,2006,2007,11,1,,,8,2,,,,,CDC Kenya 2007,,
1,KEN,Kirinyanga,KEN.15_1,,,2006,2007,11,1,,,2,0,,,,,CDC Kenya 2007,,
1,KEN,Nairobi,KEN.30_1,,,2006,2007,11,1,,,1,0,,,,,CDC Kenya 2007,,
2,KEN,Murang'a,KEN.29_1,Maragwa,KEN.29.6_1,2006,2007,11,1,,,1,0,,,,,CDC Kenya 2007,,
1,KEN,Taita Taveta,KEN.39_1,,,2006,2007,11,1,,,1,0,,,,,CDC Kenya 2007,,
1,KEN,Tana River,KEN.40_1,,,2006,2007,11,1,,,16,5,,,,,CDC Kenya 2007,,
1,KEN,Wajir,KEN.46_1,,,2006,2007,11,1,,,26,8,,,,,CDC Kenya 2007,,
1,KEN,Garissa,KEN.7_1,,,2006,2007,12,1,,,132,54,,,,repeat data with spatial information,"ProMed, Eastern Africa (04): Kenya, WHO",,20070116.02
2,KEN,Garissa,KEN.7_1,Ijara,KEN.7.5_1,2006,2007,12,1,,,58,10,,,,repeat data with spatial information,"ProMed, Eastern Africa (04): Kenya, WHO",,20070116.02
1,KEN,Tana River,KEN.40_1 ,,,2006,2007,12,1,,,15,6,,,,repeat data with spatial information,"ProMed, Eastern Africa (04): Kenya, WHO",,20070116.02
1,KEN,Wajir,KEN.46_1,,,2006,2007,12,1,,,15,12,,,,repeat data with spatial information,"ProMed, Eastern Africa (04): Kenya, WHO",,20070116.02
1,KEN,Taita Taveta,KEN.39_1,,,2007,,1,,3,,1,1,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
2,KEN,Garissa,KEN.7_1,Ijara,KEN.7.5_1,2007,,1,,3,,60,12,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
1,KEN,Garissa,KEN.7_1,,,2007,,1,,3,,29,2,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
1,KEN,Isiolo,KEN.9_1,,,2007,,1,,3,,7,0,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
1,KEN,Kilifi,KEN.14_1,,,2007,,1,,3,,30,11,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
2,KEN,Kilifi,KEN.14_1,Malindi,KEN.14.6_1,2007,,1,,3,,7,2,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
1,KEN,Tana River,KEN.40_1,,,2007,,1,,3,,1,1,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
1,KEN,Wajir,KEN.46_1,,,2007,,1,,3,,12,0,,,,,"ProMed, Eastern Africa (06): Kenya",,20070121.03
1,KEN,Garissa,KEN.7_1,,,2007,,1,,4,,14,1,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
2,KEN,Garissa,KEN.7_1,Ijara,KEN.7.5_1,2007,,1,,4,,7,1,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
1,KEN,Isiolo,KEN.9_1,,,2007,,1,,4,,1,0,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
1,KEN,Kajiado,KEN.10_1,,,2007,,1,,4,,3,3,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
2,KEN,Kiambu,KEN.13_1,Thika,KEN.13.12_1,2007,,1,,4,,2,0,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
1,KEN,Kirinyanga,KEN.15_1,,,2007,,1,,4,,4,1,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
2,KEN,Murang'a,KEN.29_1,Maragwa,KEN.29.6_1,2007,,1,,4,,1,0,,,,,"ProMed, Eastern Africa (11): Kenya, Somalia",,20070131.04
1,KEN,Baringo,KEN.1_1,,,2007,2007,1,2,5,,NA,11,,,,,"ProMed, Eastern Africa (13): Kenya",,20070203.04
1,KEN,Taita Taveta,KEN.39_1,,,2007,2007,1,2,5,,NA,5,,,,,"ProMed, Eastern Africa (13): Kenya",,20070203.04
1,KEN,Tana River,KEN.40_1,,,2007,,2,,6,,NA,5,,,,,"ProMed, Eastern Africa (17): Kenya",,20070214.05
0,KEN,,,,,2007,2007,2,3,7,9,NA,16,,,,total of 154 deaths,"ProMed, Eastern Africa (21): Kenya, vaccination",,20070307.08
0,KEN,,,,,2007,2007,3,5,10,17,NA,1,,,,total of 155 deaths,"ProMed, Eastern Africa (30): Kenya & Tanzania",,20070502.14
1,KEN,Nakuru,KEN.31_1 ,,,2007,,9,,,,2,2,,,,,"ProMed, human - Kenya: RFI",,20070921.31
1,KEN,Wajir,KEN.46_1,,,2018,,6,,24,,19,6,,,,,"ProMed, Kenya (04): Wajir",,20180615.59
1,KEN,Siaya,KEN.38_1,,,2018,,6,,24,25,1,NA,,,,"By June 22, at least 10 deaths in Wajir and Siaya, don't know distribution","ProMed, Eastern Africa (03): Kenya",,20180621.59
2,KEN,Migori,KEN.27_1,Uriri,KEN.27.8_1 ,2018,,6,,24,,1,NA,,,,,"ProMed, Eastern Africa (03): Kenya",,20180621.59
1,KEN,Siaya,KEN.38_1,,,2018,2018,6,6,24,25,NA,4,,,,"By June 22, at least 10 deaths in Wajir and Siaya, don't know distribution","ProMed, Eastern Africa (04): Kenya",,20180622.59
1,KEN,Marsabit,KEN.25_1,,,2018,2018,6,6,24,25,2,1,,,,,"ProMed, Eastern Africa (06): Kenya, South Africa",,20180625.59
1,KEN,Wajir,KEN.46_1,,,2018,,6,,25,,5,0,,,,,"ProMed, Eastern Africa (06): Kenya, South Africa",,20180625.59
1,KEN,Wajir,KEN.46_1,,,2018,,6,,26,,56,0,,,,,"ProMed, Eastern Africa (08): Kenya, Uganda, human, animals, spread",,20180701.59
1,KEN,Marsabit,KEN.25_1,,,2018,,6,,26,,9,2,,,,,"ProMed, Eastern Africa (10): Kenya",,20180704.59
1,KEN,Wajir,KEN.46_1,,,2018,,7,,27,29,1,0,,,,,"ProMed, Eastern Africa (20): Kenya",,20180725.59
0,KEN,,,,,2018,,,,,,18,NA,,,,,https://www.oie.int/wahis_2/public/wahid.php/Countryinformation/Zoonoses,,
2,MDG,Toamasina,MDG.5_1,Analanjirofo,MDG.5.2_1,1990,,4,,,,15,1,,,,,Morvan 1991,,
2,MDG,Antananarivo,MDG.1_1,Analamanga,MDG.1.1_1,1991,,2,,,,1,1,,,,,Morvan 1992 (1),,
2,MDG,"Toamasina, Antananarivo, Toliary","MDG.5_1, MDG.1_1, MDG.6_1","Alaotra Mangoro, Analamanga, Itasy, Vakinakaratra, Anosy ","MDG.5.1_1, MDG.1.1_1, MDG.1.3_1, MDG.1.4_1, MDG.6.2_1",2008,,4,,,17,418,17,,,,59 lab confirmed,"ProMed, human, bovine - Madagascar",,20080419.14
0,MDG,,,,,2008,2008,5,6,,,102,3,,,,25 lab confirmed,"ProMed, Madagascar (02)",,20080716.22
0,MDG,,,,,2008,2009,,,,,180,,,,,,https://jvi.asm.org/content/85/13/6162,,
0,MLI,,,,,2015,,,,,,2,2,,,,,https://www.oie.int/wahis_2/public/wahid.php/Countryinformation/Zoonoses,Mali 2015,
0,MLI,Kidal,MLI.4_1,,,2016,,9,,37,,3,0,,,,,Tong 2019,,
2,MLI,Koulikoro Mopti,MLI.5_1,Kati (Oulessebougou),MLI.5.4_1,2017,,7,,29,,1,0,,,,,"ProMed, Mali (02): (KK)",,20170721.52
2,MRT,Hodh el Gharbi,MRT.8_1,Aïoun,MRT.8.1_1,1998,,9,,,,36,6,,,,,"ProMed, Mauritania (02)","https://wwwnc.cdc.gov/eid/article/7/6/01-0627_article#:~:text=In%201998%2C%20a%20Rift%20Valley,death%20in%20humans%20(1)",19981111.22
2,MRT,Gorgol,MRT.5_1,Foum Gleita,MRT.5.2_1,2002,,11,,,,1,0,,,,,"ProMed, human - Mauritania: OIE",,20030105
1,MRT,Tagant,MRT.11_1,,,2003,,9,,40,,1,0,,,,,Faye 2007,,
1,MRT,Assaba,MRT.2_1,,,2003,,10,,43,,3,1,,,,,Faye 2007,,
1,MRT,Brakna,MRT.3_1 ,,,2003,,10,,43,,9,5,,,,,Faye 2007,,
1,MRT,Trarza,MRT.13_1,,,2003,,10,,43,,6,2,,,,,Faye 2007,,
1,MRT,Gorgol,MRT.5_1,,,2003,,10,,43,,2,1,,,,,Faye 2007,,
2,MRT,Adrar,MRT.1_1,Aoujeft,MRT.1.1_1,2010,,11,,,,45,17,,,,calculated 45 from the total on the human outbreaks sheet,"Faye 2014, ProMed, livestock, human - Mauritania",,20101202.43
0,MRT,,,,,2010,,,,,,18,13,,,,,https://www.oie.int/wahis_2/public/wahid.php/Countryinformation/Zoonoses,,
2,MRT,Tagant,MRT.11_1,"Moudjeria, Tiguidja/Tidjigja","MRT.11.1_1, MRT.11.3_1",2012,2012,9,11,35,48,20,7,,,,,Sow 2014,,
2,MRT,Hodh el Gharbi,MRT.8_1,"Tamcheket, Tintane","MRT.8.3_1,  MRT.8.4_1",2012,2012,9,11,35,48,10,1,,,,,Sow 2014,,
2,MRT,Hodh ech Chargui,MRT.7_1,"Djigueni, Amourj, Nema","MRT.7.3_1, MRT.7.1_1, MRT.7.4_1",2012,2012,9,11,35,48,4,2,,,,,Sow 2014,,
2,MRT,Brakna,MRT.3_1 ,"Macta lajar/Magta-Lahjar, Aleg","MRT.3.5_1, MRT.3.1_1",2012,2012,9,11,35,48,3,1,,,,,Sow 2014,,
2,MRT,Trarza,MRT.13_1,Ouad Naga,MRT.13.4_1,2012,2012,9,11,35,48,2,1,,,,,Sow 2014,,
2,MRT,Assaba,MRT.2_1,"Kiffa, Guerou","MRT.2.5_1, MRT.2.3_1",2012,2012,9,11,35,48,2,1,,,,,Sow 2014,,
1,MRT,Hodh el Gharbi,MRT.8_1,Aïoun,MRT.8.1_1,2015,2015,9,11,37,47,1,0,,,,,Bob 2017,,
1,MRT,Brakna,MRT.3_1 ,Aleg,,2015,2015,9,11,37,47,3,1,,,,,Bob 2017,,
1,MRT,Nouakchott,MRT.10_1,Amitié,,2015,2015,9,11,37,47,2,0,,,,,Bob 2017,,
1,MRT,Trarza,MRT.13_1,Boutilimit,,2015,2015,9,11,37,47,1,0,,,,,Bob 2017,,
1,MRT,Nouakchott,MRT.10_1,Cheikh Zayed ,,2015,2015,9,11,37,47,3,0,,,,,Bob 2017,,
1,MRT,Gorgol,MRT.5_1,Kaédi,,2015,2015,9,11,37,47,2,0,,,,,Bob 2017,,
1,MRT,Assaba,MRT.2_1,Kiffa,,2015,2015,9,11,37,47,16,4,,,,,Bob 2017,,
1,MRT,Nouakchott,MRT.10_1,Mere et Enfant,,2015,2015,9,11,37,47,2,0,,,,,Bob 2017,,
1,MRT,Nouakchott,MRT.10_1,National,,2015,2015,9,11,37,47,20,3,,,,,Bob 2017,,
1,MRT,Brakna,MRT.3_1 ,Bababé,,2015,2015,9,11,37,47,1,0,,,,,Bob 2017,,
1,MRT,Hodh ech Chargui,MRT.7_1,Bassiknou,,2015,2015,9,11,37,47,1,0,,,,,Bob 2017,,
1,MRT,Brakna,MRT.3_1 ,Maghta Lahjar,,2015,2015,9,11,37,47,4,3,,,,,Bob 2017,,
1,MRT,Tagant,MRT.11_1,Moudjeria,,2015,2015,9,11,37,47,1,1,,,,,Bob 2017,,
1,MRT,Nouakchott,MRT.10_1,,,2017,,6,,22,,1,0,,,,,"ProMed, Mauritania: RFI",,20170605.51
1,MRT,Tagant,MRT.11_1,,,2020,,9,11,,,38,,,,,,,"ProMed, MAURITANIA (02): ANIMAL, HUMAN, SPREAD, SUDAN SUSPECTED","20201001.7828576,20201114.7943971"
1,MRT,"Brakna, Trarza, Gorgol, Adrar, Assaba, Hodh El Gharby, Hodh El Chargui, Guidimaka, Nauakchott Sud, Nauakchott Quest, ","MRT.1_1,MRT.2_1,MRT.3_1,MRT.5_1,MRT.13_1,MRT.7_1,MRT.8_1,MRT.6_1,MRT.10_1",,,2020,,9,11,,,37,25,,,,subtracted breeders from cum. 38 of 75 cases were in Tagant,,"ProMed, MAURITANIA (02): ANIMAL, HUMAN, SPREAD, SUDAN SUSPECTED","20201001.7828576,20201114.7943971"
0,MYT,Mayotte,MYT,,,2007,2008,9,5,,,10,0,,,,,Sissoko 2009,,
0,MYT,Mayotte,MYT,M'Tsangamouji,,2008,,3,,10,,NA,NA,,,,,Promed,,20080522.17
0,MYT,Mayotte,MYT,,,2009,,,,,,NA,NA,,,,,Métras 2016,,
0,MYT,Mayotte,MYT,,,2010,,,,,,NA,NA,,,,,Métras 2016,,
0,MYT,Mayotte,MYT,,,2018,2018,11,11,47,,1,NA,,,,,Youssof 2020,"ProMed, Mayotte: increase in cases, humans, cattle,",20190202.63
0,MYT,Mayotte,MYT,,,2018,2019,12,1,1,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2018,2018,12,12,51,,2,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2018,2018,12,12,52,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,1,1,2,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,1,1,3,,8,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,1,1,4,,8,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,1,2,5,,7,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,2,2,6,,17,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,2,2,7,,18,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,2,2,8,,16,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,2,3,9,,11,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,3,3,10,,9,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,3,3,11,,11,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,3,3,12,,5,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,3,3,13,,3,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,3,4,14,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,4,4,15,,4,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,4,4,16,,4,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,4,4,17,,3,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,4,5,18,,2,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,5,5,19,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,5,5,20,,4,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,5,5,21,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,5,6,22,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,6,6,23,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,6,6,26,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,6,7,27,,1,NA,,,,,Youssof 2020,,
0,MYT,Mayotte,MYT,,,2019,2019,7,7,28,,1,NA,,,,,Youssof 2020,,
0,NAM,,,,,2010,2010,8,9,,,3,0,,,,,https://www.oie.int/wahis_2/public/wahid.php/Countryinformation/Zoonoses,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,2016,7,8,31,,1,0,nomadic stockbreeders,,,,http://www.fao.org/3/a-i7055e.pdf,,20190904.67
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,8,,32,,10,4,nomadic stockbreeders,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,8,,33,,6,7,,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,8,,34,,8,5,,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,8,,35,,10,2,,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,9,,36,,7,3,,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,9,,37,,12,1,,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,9,,38,,20,3,,,,,http://www.fao.org/3/a-i7055e.pdf,,
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,9,,39,,14,3,,,,,http://www.fao.org/3/a-i7055e.pdf,,
1,NER,Tahoua,NER.6_1,,,2016,2016,9,10,39,40,26,5,,,,"source reports 90 total cases and 28 total deaths, 26 and 5 come from only accounting for Promed rows",,"ProMed, Niger (04): (TH)",20161014.46
2,NER,Tahoua,NER.6_1,Tchin-Tabarade,NER.6.7_1,2016,,10,,40,,13,0,,,,,http://www.fao.org/3/a-i7055e.pdf,,
1,NER,Tahoua,NER.6_1,,,2016,2016,10,11,41,46,140,4,,,,"total now at 230, 32 deaths as of Nov 17 2016","ProMed, Niger (05): (TH)",,20161121.46
1,NER,Tahoua,NER.6_1,,,2016,,11,,47,,36,0,,,,total 266 as of 21 Nov 2016,"ProMed, Niger (06): (TH) WHO, RFI",,20161130.47
0,RWA,,,,,2017,,,,,,4,2,,,,,https://www.oie.int/wahis_2/public/wahid.php/Countryinformation/Zoonoses,,
0,RWA,,,,,2018,,,,,,12,2,,,,,https://www.oie.int/wahis_2/public/wahid.php/Countryinformation/Zoonoses,,
1,SAU,Jizan,SAU.10_1,,,2000,,9,,39,,98,0,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
0,SAU,,,,,2000,,9,,39,,15,24,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
1,SAU,Ar Riyad ,SAU.7_1,,,2000,,9,,39,,2,0,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
1,SAU,Asir,SAU.1_1,,,2000,,9,,39,,3,0,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
1,SAU,Jizan,SAU.10_1,,,2000,,9,,39,,7,2,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
1,SAU,Makkah,SAU.11_1,Jeddah,,2000,,9,,39,,1,0,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
1,SAU,Narjan,SAU.12_1,,,2000,,9,,39,,1,0,,,,,"ProMed, Saudi Arabia & Yemen",,20000925.17
1,SAU,Jizan,SAU.10_1,,,2000,,9,,39,,33,7,,,,,"ProMed, Saudi Arabia & Yemen (03)",,20000927.17
