Scenarios,R0,thresholdCases,thresholdTimeFrame,vacFrac_sp,vacFrac_h2h,vacEfficacy,vac2Efficacy,vacDelay,vac2Delay,protDelay
1,0,3,28,0.2,0.8,0.7,NA,28,NA,7
2,0,3,28,0.7,0.7,0.5,NA,28,NA,7
3,0,3,28,0.7,0.7,0.7,NA,28,NA,7
4,0,3,28,0.7,0.7,0.9,NA,28,NA,7
5,0,3,28,0.7,0.7,0.25,0.5,28,28,7
6,0,3,28,0.7,0.7,0.35,0.7,28,28,7
7,0,3,28,0.7,0.7,0.45,0.9,28,28,7
8,0,3,28,0.5,0.5,0.7,NA,28,NA,7
9,0,3,28,0.9,0.9,0.7,NA,28,NA,7
10,0,3,28,0.7,0.7,0.7,NA,7,NA,7
11,0,3,28,0.7,0.7,0.7,NA,120,NA,7
12,0,3,28,0.7,0.7,0.7,NA,28,NA,14
13,0,1,28,0.7,0.7,0.7,NA,28,NA,7
14,0,5,28,0.7,0.7,0.7,NA,28,NA,7
15,0.01,3,28,0.7,0.7,0.7,NA,28,NA,7
